"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Restless Reef","","R","2563","1.05","856","1.04","2889","56.1%","53.6%","513","56.3%","768","55.7%","1281","56.0%","1590","51.6%","4.3pp"
"Restless Ridgeline","","R","2495","1.02","874","1.02","2916","55.8%","56.0%","543","58.0%","713","55.8%","1256","56.8%","1650","55.3%","1.4pp"
"Restless Vents","","R","2576","1.05","634","1.04","1458","37.6%","52.9%","250","","348","","598","54.5%","855","51.7%","2.8pp"
"Sunken Citadel","","R","2895","1.18","542","1.20","2340","72.0%","54.3%","401","","572","51.9%","973","54.3%","1358","54.1%","0.1pp"
"Volatile Fault","","U","54454","9.32","11298","11.62","14945","20.8%","51.6%","2491","48.6%","3683","53.8%","6174","51.7%","8695","51.4%","0.4pp"
"Deeproot Pilgrimage","U","R","5534","2.06","872","2.00","1396","27.0%","50.1%","236","","339","","575","48.2%","819","51.4%","-3.2pp"
"Subterranean Schooner","U","R","2458","1.01","1832","1.00","10503","90.0%","58.6%","1858","68.1%","2504","60.7%","4362","63.9%","6022","54.7%","9.2pp"
"Acolyte of Aclazotz","B","C","132524","8.09","16391","10.92","27367","27.1%","50.6%","4427","46.1%","6898","52.2%","11325","49.9%","15996","51.1%","-1.2pp"
"Bloodletter of Aclazotz","B","M","1344","1.08","773","1.07","3381","72.6%","54.3%","573","57.1%","909","60.7%","1482","59.3%","1892","50.2%","9.1pp"
"Defossilize","B","U","44781","5.08","10523","5.77","47329","72.0%","57.0%","7413","58.1%","12668","61.5%","20081","60.3%","27039","54.5%","5.8pp"
"Fungal Fortitude","B","C","134470","8.46","16871","11.25","23314","22.0%","53.7%","3680","52.7%","5928","56.2%","9608","54.9%","13660","52.8%","2.0pp"
"Souls of the Lost","B","R","2596","1.08","878","1.08","3911","73.2%","56.1%","672","56.3%","1042","57.0%","1714","56.7%","2194","55.6%","1.1pp"
"Cosmium Confluence","G","R","2464","1.02","540","1.02","1662","52.3%","51.7%","272","","451","","723","53.9%","929","49.5%","4.4pp"
"Chimil, the Inner Sun","","M","1178","1.00","1076","1.00","6601","95.7%","59.9%","1134","63.7%","1722","65.5%","2856","64.8%","3712","56.1%","8.7pp"
"Runaway Boulder","","C","117255","6.56","8520","10.29","12251","22.6%","55.6%","2081","54.9%","3012","54.5%","5093","54.6%","7055","56.1%","-1.5pp"
