"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Hit the Mother Lode","R","R","4938","1.99","422","2.05","349","14.0%","","49","","74","","123","","226","",""
"Hotfoot Gnome","R","C","122960","6.40","12894","9.35","35915","43.4%","57.0%","6025","54.9%","7760","55.4%","13785","55.2%","21957","58.2%","-3.0pp"
"Idol of the Deep King","R","C","100518","5.46","22352","7.52","100614","71.0%","57.5%","16836","55.3%","22166","57.2%","39002","56.4%","61054","58.1%","-1.7pp"
"Inti, Seneschal of the Sun","R","R","2456","1.00","1904","1.00","10707","89.3%","59.0%","1898","64.9%","2428","60.5%","4326","62.4%","6359","56.6%","5.9pp"
"Magmatic Galleon","R","R","2484","1.00","1870","1.00","10326","85.9%","59.8%","1666","66.0%","2343","65.9%","4009","65.9%","6260","55.9%","10.0pp"
"Ojer Axonil, Deepest Might","R","M","1223","1.02","775","1.02","3869","78.1%","58.4%","638","59.4%","885","61.8%","1523","60.8%","2347","56.8%","4.0pp"
"Panicked Altisaur","R","C","109992","5.03","16526","6.77","79121","75.6%","57.7%","12542","56.7%","18077","58.2%","30619","57.6%","48293","57.7%","-0.1pp"
"Plundering Pirate","R","C","82810","3.72","16423","4.92","94192","89.8%","58.8%","16492","60.2%","20189","57.4%","36681","58.7%","57042","58.8%","-0.1pp"
"Poetic Ingenuity","R","R","3087","1.24","1866","1.22","9989","85.8%","57.6%","1758","66.3%","2218","55.8%","3976","60.4%","5985","55.8%","4.7pp"
"Rampaging Ceratops","R","U","31000","3.28","3324","4.27","16309","78.0%","55.9%","2570","55.1%","3728","55.9%","6298","55.6%","9969","56.1%","-0.5pp"
"Rumbling Rockslide","R","C","83794","3.56","9401","4.90","48674","83.1%","56.5%","7791","53.3%","11210","57.3%","19001","55.7%","29596","57.0%","-1.4pp"
"Saheeli's Lattice","R","U","38636","3.41","5082","4.57","22965","72.5%","56.6%","4009","57.1%","4954","56.4%","8963","56.7%","13951","56.4%","0.3pp"
"Scytheclaw Raptor","R","U","21389","2.47","5772","2.97","32896","91.2%","57.5%","5744","56.8%","7249","57.2%","12993","57.0%","19848","57.7%","-0.7pp"
"Seismic Monstrosaur","R","C","95877","4.25","8378","6.35","38303","73.3%","55.9%","6516","53.8%","8697","56.6%","15213","55.4%","22970","56.1%","-0.7pp"
"Sunfire Torch","R","C","105975","4.66","17070","6.19","85451","78.9%","58.2%","14673","58.0%","18432","56.6%","33105","57.2%","51848","58.8%","-1.6pp"
"Sunshot Militia","R","C","119893","6.08","24622","7.85","112292","70.9%","58.6%","19306","56.9%","23819","58.3%","43125","57.7%","68972","59.3%","-1.6pp"
"Tectonic Hazard","R","C","136846","9.83","18265","13.04","2608","2.2%","50.6%","431","","536","48.9%","967","49.6%","1639","51.1%","-1.4pp"
"Triumphant Chomp","R","U","20685","2.30","4870","2.76","26342","86.8%","57.0%","4416","55.7%","6024","57.4%","10440","56.7%","15870","57.2%","-0.5pp"
"Trumpeting Carnosaur","R","R","2506","1.00","2034","1.00","11750","89.8%","60.1%","1967","65.7%","2771","67.0%","4738","66.5%","6951","55.7%","10.8pp"
"Volatile Wanderglyph","R","C","99504","4.30","17634","5.63","101329","89.2%","59.5%","18363","61.7%","21065","57.5%","39428","59.4%","61487","59.5%","-0.1pp"
"Zoyowa's Justice","R","U","54102","9.53","10533","12.08","3202","4.7%","51.6%","555","47.6%","750","49.9%","1305","48.9%","1895","53.5%","-4.6pp"
"Armored Kincaller","G","C","104848","4.82","15501","6.09","81625","84.5%","57.4%","14507","57.2%","18820","58.1%","33327","57.7%","47884","57.1%","0.6pp"
"Basking Capybara","G","C","127501","6.85","9987","9.91","23099","37.6%","52.6%","4089","50.2%","5222","51.7%","9311","51.0%","13648","53.7%","-2.6pp"
"Bedrock Tortoise","G","R","2487","1.03","1377","1.02","6818","79.2%","57.5%","1180","61.5%","1637","63.0%","2817","62.4%","3952","54.0%","8.4pp"
"Cavern Stomper","G","C","118374","5.66","17103","7.19","79467","74.8%","56.5%","12338","56.4%","19004","57.8%","31342","57.3%","47514","55.9%","1.4pp"
"Cenote Scout","G","U","25832","2.78","4169","3.34","22014","85.7%","57.4%","4043","62.1%","4880","57.1%","8923","59.4%","12979","56.2%","3.2pp"
"Coati Scavenger","G","U","34402","3.85","4400","4.89","20361","76.2%","54.3%","3426","50.0%","4919","55.8%","8345","53.4%","11827","54.8%","-1.4pp"
"Colossadactyl","G","U","20683","2.28","4350","2.63","24340","90.4%","56.2%","3976","58.0%","6021","57.4%","9997","57.6%","14194","55.1%","2.6pp"
"Disturbed Slumber","G","C","136841","9.83","16812","13.07","4780","4.4%","49.5%","748","43.6%","991","49.4%","1739","46.9%","3034","51.1%","-4.1pp"
"Earthshaker Dreadmaw","G","U","22276","2.48","4459","2.87","23916","87.0%","56.6%","3789","56.4%","5764","59.0%","9553","58.0%","14137","55.4%","2.6pp"
"Explorer's Cache","G","U","39086","4.36","3465","6.07","12273","57.9%","55.6%","2136","56.3%","2776","54.1%","4912","55.1%","7341","55.9%","-0.8pp"
"Ghalta, Stampede Tyrant","G","M","1287","1.07","470","1.06","1559","57.3%","51.5%","239","","375","","614","54.4%","928","49.7%","4.7pp"
"Glimpse the Core","G","U","39582","4.36","2397","6.35","7631","53.0%","52.5%","1403","54.1%","1599","48.8%","3002","51.3%","4626","53.3%","-2.0pp"
"Glowcap Lantern","G","U","47651","5.99","4780","8.42","10360","35.4%","51.1%","1812","50.9%","2506","50.3%","4318","50.6%","6014","51.6%","-1.0pp"
"Growing Rites of Itlimoc","G","R","3763","1.44","552","1.43","1286","39.4%","50.5%","192","","298","","490","","795","51.6%",""
"Huatli, Poet of Unity","G","M","1263","1.00","965","1.00","5000","81.5%","59.4%","902","68.3%","1224","66.2%","2126","67.1%","2843","54.0%","13.1pp"
"Huatli's Final Strike","G","C","79097","3.41","12880","4.28","72941","91.0%","57.1%","11883","56.0%","18177","59.9%","30060","58.3%","42777","56.2%","2.1pp"
"Hulking Raptor","G","R","2500","1.03","1419","1.02","6807","79.2%","56.8%","1140","61.3%","1735","57.3%","2875","58.9%","3886","55.1%","3.9pp"
"In the Presence of Ages","G","C","131545","8.41","14700","11.80","14831","15.9%","55.1%","2480","53.3%","3438","57.5%","5918","55.7%","8888","54.7%","1.1pp"
"Intrepid Paleontologist","G","R","2467","1.02","1328","1.02","6716","79.6%","57.7%","1279","63.1%","1570","60.4%","2849","61.6%","3819","54.6%","7.0pp"
"Ixalli's Lorekeeper","G","U","36851","4.37","4871","5.55","21555","71.7%","56.1%","3947","61.1%","4435","53.0%","8382","56.8%","13119","55.6%","1.2pp"
"Jade Seedstones","G","U","48757","4.46","6103","5.98","25738","68.0%","56.0%","4067","55.5%","6285","57.8%","10352","56.9%","15367","55.4%","1.5pp"
"Jadelight Spelunker","G","R","2495","1.02","1308","1.02","6312","79.4%","55.3%","1139","56.7%","1560","58.7%","2699","57.9%","3565","53.3%","4.6pp"
"Kaslem's Stonetree","G","C","126274","7.68","10457","11.23","11830","18.0%","50.3%","1977","49.0%","2748","48.6%","4725","48.7%","7066","51.2%","-2.5pp"
"Malamet Battle Glyph","G","U","27424","3.06","4761","3.76","25682","87.1%","56.2%","4199","56.4%","6191","57.1%","10390","56.8%","15270","55.8%","1.0pp"
"Malamet Brawler","G","C","130309","7.20","12620","9.85","35732","45.4%","54.5%","6455","53.5%","7446","53.1%","13901","53.3%","21721","55.3%","-2.0pp"
"Malamet Scythe","G","C","136336","9.22","20835","11.78","26075","19.8%","55.0%","4042","53.0%","5986","55.4%","10028","54.5%","16015","55.3%","-0.8pp"
"Malamet Veteran","G","C","125603","6.51","9081","9.53","22761","40.5%","53.3%","3561","51.1%","5461","54.4%","9022","53.1%","13608","53.4%","-0.3pp"
"Mineshaft Spider","G","C","122362","6.47","10766","9.29","31621","47.0%","55.4%","5210","54.9%","7565","55.2%","12775","55.1%","18662","55.6%","-0.6pp"
"Nurturing Bristleback","G","C","113676","5.56","15288","7.35","70602","74.7%","56.0%","12077","54.1%","16509","58.2%","28586","56.4%","41414","55.5%","0.9pp"
"Ojer Kaslem, Deepest Growth","G","M","1161","1.01","865","1.01","4534","83.5%","57.8%","801","68.0%","1136","63.4%","1937","65.3%","2555","51.9%","13.4pp"
"Over the Edge","G","C","133702","8.32","17504","10.71","34750","32.2%","52.9%","5661","51.6%","8443","53.3%","14104","52.6%","20608","53.1%","-0.5pp"
